title,price,img_path,category_id,description
Double Chocolate Cheesecake,61,img/products/f77242b8d15b0952f895b4e4633c8f6f.jpg,2,"Satisfy your chocolate cravings with our Double Chocolate Cheesecake, where rich cocoa meets creamy cheesecake, resulting in a decadent dessert that's twice as delightful."
Earl Grey Cheesecake,74,img/products/03ea7c251a410dd553ce9a2ab06dd6e3.jpg,2,"Indulge in sophistication with our Earl Grey Cheesecake, where fragrant Earl Grey tea meets creamy cheesecake, resulting in a dessert that's as elegant as it is delicious."
Key Lime Cheesecake,71,img/products/0a9a760782e619f33ef4072564349a82.jpg,2,"Experience the tangy zest of key limes harmoniously blended with creamy cheesecake, creating a refreshing and indulgent dessert."
Lime Cheesecake,71,img/products/5ba4c4da98fd69d775a4d2853584d647.jpg,2,"Delight in the tangy zest of our Lime Cheesecake, where vibrant lime flavor infuses every velvety bite, creating a refreshing and irresistible dessert experience."
Peach Cheesecake,70,img/products/e90d82562a0bff39887f876c400fd51f.jpg,2,"Transport your taste buds to peachy perfection with our Peach Cheesecake, where juicy peach slices are nestled atop a creamy cheesecake filling, creating a heavenly dessert you'll adore."
Plain Cheesecake,59,img/products/9c84d59d97e52e641b973f1ac1d7197d.jpg,2,"Savor the simplicity of our Plain Cheesecake, where creamy perfection takes center stage, allowing you to appreciate the pure and timeless indulgence of traditional cheesecake."
Strawberry Cheesecake,75,img/products/93186b3c3b7cdda4001cda6d95b05997.jpg,2,"Dive into the creamy decadence of our Cheesecake topped with juicy strawberries, a perfect balance of richness and fruitiness."
Blueberry Muffin,9,img/products/4a119689b8abfa33bfe4cd024fd58570.jpg,3,"Start your day with the irresistible flavor of blueberries baked into our tender and fluffy muffins, a delicious morning treat."
Chocolate Chips Muffin,7,img/products/ef5026008e47b54b5f78321e44baedf1.jpg,3,"Treat yourself to the perfect balance of rich chocolate and sweet chips with our Chocolate Chips Muffin, a moist and flavorful indulgence that's sure to satisfy your sweet tooth."
Chocolate Muffin,7,img/products/732f1e993a8386eed22b250ef004285a.jpg,3,"Satisfy your chocolate cravings with our Chocolate Muffin, a decadent delight that boasts rich cocoa flavor and a moist, tender crumb, making it the perfect treat for any chocolate lover."
Citrus Muffin,5,img/products/08931824c043218180f1874bc21109ab.jpg,3,"Wake up your taste buds with our Citrus Muffin, where vibrant citrus flavor infuses every moist and tender crumb, creating a refreshing and irresistible treat to start your day."
Orange Muffin,6,img/products/cccc7e5d5d19406cc6df8229a264998d.jpg,3,"Brighten your day with our Orange Muffin, where tangy orange flavor infuses every moist and tender crumb, creating a delightful treat"
Spiced Chocolate Muffin,8,img/products/129bdc2e3b9a6cfcf63e9f99ce8cd5a6.jpg,3,"Treat yourself to the perfect blend of rich chocolate and warming spices with our Spiced Chocolate Muffin, a moist and flavorful indulgence that will satisfy your chocolate cravings."
Strawberry Caramel Muffin,5,img/products/d7f0a187d960c04e5b2316471f39953f.jpg,3,"Indulge in the perfect combination of sweet strawberries and rich caramel with our Strawberry Caramel Muffin, a moist and flavorful treat that's sure to delight your taste buds."
Strawberry Muffin,10,img/products/b70c402efe013798bb0244595e239468.jpg,3,"Enjoy the sweet taste of strawberries in every bite of our moist and delectable muffins, a delightful snack any time of day."
Apple Pie,23,img/products/78794ac0a30c205cae0e5add80e2309b.jpg,4,"Experience the comforting flavors of home with our Apple Pie, where tender apples are spiced to perfection and encased in a buttery crust, creating a timeless dessert that's perfect for any occasion."
Berries Pie,22,img/products/b734716404fd09254b0f642c3f0f3a8e.jpg,4,"Enjoy a slice of summer with our Berries Pie, where a medley of plump, juicy berries is nestled in a flaky crust, creating a vibrant and delectable dessert that's sure to delight."
Butterscotch Pie,23,img/products/2d50480b6e97c90abcee8784026dd4b1.jpg,4,"Indulge in the buttery sweetness of our Butterscotch Pie, where rich butterscotch filling is encased in a flaky crust, creating a dessert that's pure comfort in every bite."
Cherries Pie,23,img/products/5ffd2217b62cff9855d7e50bc43acf0e.jpg,4,"Experience the taste of summer all year round with our Cherries Pie, where plump, juicy cherries are enveloped in a flaky crust, creating a delightful dessert bursting with fruity goodness."
Eggnog Pie,27,img/products/6f92d674f54114499d68ba9a082f1ecf.jpg,4,"Celebrate the season with our Eggnog Pie, where creamy eggnog filling meets a buttery crust, creating a holiday dessert that's sure to spread joy and cheer with every slice."
Mixed Berries Pie,23,img/products/74812145702c33b467efe834519bfbb6.jpg,4,"Enjoy the best of both worlds with our Mixed Berries Pie, where a colorful assortment of berries mingle in a flaky crust, creating a delightful explosion of fruity flavor in every bite."
Pecan Pie,36,img/products/be01a9e9f6db955c5cbce538a81798a9.jpg,4,"Treat yourself to the rich, nutty goodness of our Pecan Pie, where buttery pecans are enrobed in a sweet caramel filling and nestled in a flaky crust, creating a dessert that's simply irresistible."
Pumpkin Pie,24,img/products/b391772a66c8fcff44137ffe3b8d07fd.jpg,4,"Embrace the flavors of autumn with our Pumpkin Pie, a classic treat that captures the essence of the season with its rich, spiced pumpkin filling and buttery crust."
Rhubarb Pie,37,img/products/f240076a9d0501e1eef3441a7709fb32.jpg,4,"Delight in the perfect combination of tart rhubarb and sweet filling nestled in a flaky crust, creating a pie bursting with flavor."
